Socket0_Watts,Socket1_Watts
86.16,82.22
85.91,81.89
85.91,82.06
85.92,81.99
85.91,81.9
85.93,82.24
86.01,81.84
85.92,82.33
85.84,81.7
85.85,82.28
85.89,81.84
85.83,82.22
85.86,82.16
85.75,82.34
85.94,82.19
85.79,81.97
85.88,82.28
85.97,82.33
85.89,82.35
85.81,81.95
85.9,82.21
86.0,82.46
85.9,81.77
85.9,82.0
85.91,82.01
85.91,82.01
85.92,81.93
85.92,82.25
85.93,81.86
85.93,82.01
86.01,82.26
85.87,81.71
85.95,82.13
86.06,82.06
85.85,82.23
86.07,81.91
85.96,82.16
85.99,82.11
86.0,82.29
85.85,82.12
86.03,82.24
85.9,82.12
85.8,82.12
85.98,82.2
85.89,82.58
85.9,81.92
85.89,82.2
85.9,82.23
85.9,82.18
85.9,82.22
85.91,82.55
85.91,82.12
86.0,82.67
85.84,82.14
85.91,82.38
