Socket0_Watts,Socket1_Watts
81.71,78.12
81.67,78.21
81.59,77.83
81.72,78.31
81.83,77.92
81.81,78.1
81.86,78.44
81.89,77.86
81.92,78.2
81.92,78.12
81.95,78.26
81.95,78.34
81.97,78.42
82.04,78.76
81.99,78.67
81.91,78.71
81.97,78.56
82.0,78.72
82.1,78.57
81.93,78.99
82.01,78.6
82.03,78.89
82.04,79.08
82.04,78.92
82.14,79.4
82.06,78.89
81.98,79.04
82.21,79.23
82.18,79.19
82.1,79.15
82.34,79.34
82.31,79.28
82.38,79.36
82.39,79.38
82.44,79.15
82.47,79.26
82.53,79.4
82.55,79.64
82.67,79.02
82.88,79.34
82.82,79.59
82.77,79.11
82.9,79.3
82.95,79.3
82.97,79.43
83.04,79.04
83.17,79.4
83.06,79.09
83.24,79.18
83.16,79.2
83.19,79.16
83.19,79.44
83.2,79.05
83.17,79.24
83.12,79.2
